goos: linux
goarch: amd64
pkg: github.com/lkumarjain/benchmark/worker-pool
cpu: 11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz
BenchmarkTunny/Sleep=010ms/Concurrency=50-2       	 1000000	      1359 ns/op	     120 B/op	       2 allocs/op
BenchmarkTunny/Sleep=010ms/Concurrency=50-2       	 1000000	      1688 ns/op	     120 B/op	       2 allocs/op
BenchmarkTunny/Sleep=010ms/Concurrency=50-2       	 1000000	      1658 ns/op	     120 B/op	       2 allocs/op
BenchmarkTunny/Sleep=010ms/Concurrency=50-2       	 1000000	      1349 ns/op	     120 B/op	       2 allocs/op
BenchmarkTunny/Sleep=010ms/Concurrency=50-2       	 1000000	      1260 ns/op	     120 B/op	       2 allocs/op
BenchmarkTunny/Sleep=010ms/Concurrency=100-2      	 1000000	      1324 ns/op	     120 B/op	       2 allocs/op
BenchmarkTunny/Sleep=010ms/Concurrency=100-2      	 1000000	      1306 ns/op	     120 B/op	       2 allocs/op
BenchmarkTunny/Sleep=010ms/Concurrency=100-2      	 1000000	      1494 ns/op	     120 B/op	       2 allocs/op
BenchmarkTunny/Sleep=010ms/Concurrency=100-2      	 1000000	      1231 ns/op	     120 B/op	       2 allocs/op
BenchmarkTunny/Sleep=010ms/Concurrency=100-2      	 1000000	      1336 ns/op	     120 B/op	       2 allocs/op
BenchmarkTunny/SHA256=1kB/Concurrency=1-2         	 1000000	      1781 ns/op	     248 B/op	       5 allocs/op
BenchmarkTunny/SHA256=1kB/Concurrency=1-2         	 1000000	      1808 ns/op	     248 B/op	       5 allocs/op
BenchmarkTunny/SHA256=1kB/Concurrency=1-2         	 1000000	      2001 ns/op	     248 B/op	       5 allocs/op
BenchmarkTunny/SHA256=1kB/Concurrency=1-2         	 1000000	      1702 ns/op	     248 B/op	       5 allocs/op
BenchmarkTunny/SHA256=1kB/Concurrency=1-2         	 1000000	      1757 ns/op	     248 B/op	       5 allocs/op
BenchmarkTunny/SHA256=1kB/Concurrency=10-2        	 1000000	      1709 ns/op	     248 B/op	       5 allocs/op
BenchmarkTunny/SHA256=1kB/Concurrency=10-2        	 1000000	      1701 ns/op	     248 B/op	       5 allocs/op
BenchmarkTunny/SHA256=1kB/Concurrency=10-2        	 1000000	      1605 ns/op	     248 B/op	       5 allocs/op
BenchmarkTunny/SHA256=1kB/Concurrency=10-2        	 1000000	      1914 ns/op	     248 B/op	       5 allocs/op
BenchmarkTunny/SHA256=1kB/Concurrency=10-2        	 1000000	      1778 ns/op	     248 B/op	       5 allocs/op
BenchmarkTunny/SHA256=1kB/Concurrency=50-2        	 1000000	      1603 ns/op	     248 B/op	       5 allocs/op
BenchmarkTunny/SHA256=1kB/Concurrency=50-2        	 1000000	      1765 ns/op	     248 B/op	       5 allocs/op
